question_id,algorithm,precision,recall,f1,subgraph_time,matching_time,total_edges,total_nodes
Q1,BFS,0.0070298769771528,1.0,0.0139616055846422,0.0030456160893663,3.089058000012301,2290,739
Q1,SSR,0.01,0.25,0.0192307692307692,14.970406227977946,2.6946493859868497,200,178
Q1,SSR+HyDE,0.035,0.875,0.0673076923076923,17.708380572963506,2.5054068909958005,200,156
Q1,SSR+PASR,0.01,0.25,0.0192307692307692,14.973678802954964,2.537749908980913,200,191
Q1,SSR+HyDE+PASR,0.04,1.0,0.0769230769230769,18.8170291360002,2.4427101110341027,200,181
Q1,BFS,0.0070298769771528,1.0,0.0139616055846422,0.002928431960754,3.314490771968849,2290,739
Q1,SSR,0.0333333333333333,0.25,0.0588235294117647,14.461714794975704,2.738837677054107,60,57
Q1,SSR+HyDE,0.1166666666666666,0.875,0.2058823529411764,21.23665934999008,2.525889966986142,60,46
Q1,SSR+PASR,0.0333333333333333,0.25,0.0588235294117647,15.33593807509169,2.445449069957249,60,58
Q1,SSR+HyDE+PASR,0.1166666666666666,0.875,0.2058823529411764,19.568526559975,2.6217149229487404,60,47
Q1,BFS,0.0070298769771528,1.0,0.0139616055846422,0.0029189840424805,4.588559536961839,2290,739
Q1,SSR,0.0333333333333333,0.25,0.0588235294117647,10.788331681047566,4.104511557030492,60,57
Q1,SSR+HyDE,0.1166666666666666,0.875,0.2058823529411764,14.532437457004562,3.8361412700032815,60,46
Q1,SSR+PASR,0.0333333333333333,0.25,0.0588235294117647,11.143100193003193,3.853985083056614,60,58
Q1,SSR+HyDE+PASR,0.1166666666666666,0.875,0.2058823529411764,14.27123842004221,3.818679313990288,60,50
Q3,BFS,0.0080450522928399,1.0,0.0159616919393455,0.0017742450581863,3.2662017210386693,1243,942
Q3,SSR,0.0681818181818181,0.6,0.1224489795918367,2.504843818023801,2.48378783010412,88,71
Q3,SSR+HyDE,0.0681818181818181,0.6,0.1224489795918367,7.176102970959619,2.506929857074283,88,62
Q3,SSR+PASR,0.1136363636363636,1.0,0.2040816326530612,2.5577439279295504,2.547031356021762,88,67
Q3,SSR+HyDE+PASR,0.1136363636363636,1.0,0.2040816326530612,6.721897177048959,2.431261560996063,88,61
Q1,BFS,0.007,1.0,0.014,0.003,3.636,2290,739
Q1,SSR,0.033,0.25,0.059,10.82,2.602,60,57
Q1,SSR+HyDE,0.117,0.875,0.206,15.352,2.635,60,45
Q1,SSR+PASR,0.033,0.25,0.059,11.172,2.649,60,58
Q1,SSR+HyDE+PASR,0.133,1.0,0.235,14.645,2.68,60,48
